ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8
765.064514,746.15918,1296.085449,792.588013,847.697144,716.698181,998.454895,1178.884155
747.272339,860.802795,1255.252441,813.17981,862.702576,763.494873,944.750244,1159.27417
765.223755,811.185425,1252.619263,755.721436,872.595276,751.682556,957.4823,1202.29187
770.028809,835.205383,1273.71875,844.650146,921.161072,737.726257,1008.967346,1243.687866
750.976257,858.240112,1270.535034,812.012024,935.193604,747.223511,1000.814148,1100.21521
747.012756,823.346008,1268.532959,834.242371,900.17334,803.016357,1055.908203,1189.544922
747.029602,846.806152,1252.105591,840.872742,883.203369,735.877014,1031.282959,1152.925171
657.208862,832.139526,1308.407715,808.465637,925.108459,779.602295,1023.067993,1211.727417
742.479431,882.547852,1258.965088,863.162903,825.770996,755.438416,900.367371,1243.436157
648.815063,832.02948,1236.025513,818.08667,823.824951,746.46167,957.208435,1221.159546
713.44574,888.203064,1194.156982,826.124146,912.467041,761.096985,967.01593,1214.062622
716.421021,886.30835,1172.495605,840.917358,915.195923,723.135559,912.649109,1182.255249
724.764709,860.300232,1262.189941,803.532776,880.388916,757.732422,874.333008,1174.854248
721.716919,838.565002,1201.879639,779.575562,859.295288,722.351318,857.669006,1230.683228
681.903809,883.333984,1236.474365,826.139404,922.214417,775.944153,908.188538,1155.979492
690.730103,808.840576,1290.707153,833.486084,838.922974,766.014526,947.817871,1220.166748
769.667175,800.815002,1221.649048,804.251831,906.07489,786.147888,979.786743,1211.835571
765.794495,794.633179,1232.480591,794.790283,824.477844,759.597046,986.672241,1241.299927
780.000305,797.465515,1265.482178,824.837524,858.90979,752.616943,979.978516,1227.422974
767.095215,760.340149,1304.612793,826.421631,845.072388,733.682068,941.791687,1158.578491
782.804443,768.249756,1248.801514,862.001099,791.489258,724.969788,1016.116028,1197.129272
740.396484,768.891052,1290.928101,814.811829,871.551941,726.057678,926.156921,1140.025635
774.082458,794.484436,1295.997925,892.564331,842.448425,750.139099,980.168945,1159.161865
851.70575,819.492371,1279.120117,843.721924,882.855408,718.360596,1045.251709,1185.602539
825.594543,797.565186,1325.668091,803.076965,873.590942,756.104126,988.674927,1153.617065
839.942017,807.818542,1352.106689,897.16803,920.185425,778.647461,1009.151367,1188.565552
804.976257,808.402222,1331.322144,896.097961,826.722595,739.724121,1021.076355,1157.190308
797.066711,869.465515,1272.901245,768.52356,843.860107,733.739014,1038.43335,1156.052734
860.892273,859.389221,1278.88147,807.664612,876.69635,718.916931,977.663086,1208.779175
785.999756,848.141846,1260.912842,851.321228,836.366272,740.087891,1009.814758,1231.366821
792.309692,792.713318,1357.633423,851.144104,857.133423,692.046692,970.127319,1157.517456
791.61438,803.028503,1329.734619,837.170471,834.526123,658.994019,1011.012756,1172.935913
761.657288,788.92865,1372.45166,899.101929,816.206665,750.579102,1036.553833,1220.714966
822.190186,835.060425,1290.288086,851.315369,833.402466,709.712341,1032.899048,1150.113159
816.815979,832.521545,1322.865234,883.01123,874.838806,689.315002,1024.69873,1190.578857
819.166687,857.443237,1334.370483,922.067383,899.960205,670.374207,1036.334961,1177.735229
847.638428,796.912842,1274.789307,873.812683,879.237,714.038025,1079.726807,1200.348877
769.33313,836.124878,1252.937134,902.167908,847.42981,726.198669,1063.631958,1173.150635
791.824463,756.52771,1287.233154,923.397583,835.129517,700.090698,1104.123535,1111.1427
810.96344,808.997742,1343.909546,995.247253,882.613708,680.026245,1199.45874,1153.935669
821.179626,855.726807,1271.593628,918.388489,889.610107,720.109192,1097.425659,1232.798096
895.678711,850.590576,1329.283447,947.253967,858.079346,688.638794,1201.863281,1226.725342
886.385071,880.090332,1279.06665,921.405457,866.239502,700.395447,1139.550903,1207.523071
892.888733,895.015442,1270.335693,899.416382,862.300171,655.782104,1136.95874,1209.578369
895.886292,843.03009,1277.903931,888.118286,849.661316,721.682312,1087.752686,1144.755615
930.700989,841.792236,1318.119751,935.10144,881.520142,707.318359,1056.287231,1190.632812
914.339233,892.357483,1314.45874,908.778687,839.254578,681.033813,1056.099609,1177.253784
929.579468,914.763672,1318.585327,896.79187,910.522522,736.787598,1077.98877,1179.138672
877.213379,921.169128,1371.269775,927.33136,853.261353,714.576721,1129.936768,1214.438843
872.27124,936.967346,1298.41687,931.755798,904.018188,710.127808,1142.539062,1148.086426
920.598816,872.646301,1378.78186,956.354126,917.121765,678.749451,1176.912476,1127.742188
